id,kadai_id,status,do_person,task,plan_hour,due_date,actual_hour,do_date,created_at,updated_at
118,24,99_Close,"吉野","完成したスキンケアLP第2版の内容を確認し、広告出稿する",0.5,2017-08-14,0.5,2017-08-12,"2017-10-22 12:30:59.895122","2017-10-22 12:30:59.895122"
119,32,99_Close,"吉野","関連LP②のコンセプト、載せる商品を決める。",2.0,2017-07-23,2.0,,"2017-10-22 12:30:59.901991","2017-10-22 12:30:59.901991"
120,33,99_Close,"吉野","関連LP②の内容構成案を作成する",2.0,2017-08-08,2.0,2017-08-03,"2017-10-22 12:30:59.907390","2017-10-22 12:30:59.907390"
121,33,99_Close,"吉野","関連LP②の内容案を作成し、縞居君にLP作成を依頼する",4.0,2017-08-10,3.0,2017-08-06,"2017-10-22 12:30:59.913836","2017-10-22 12:30:59.913836"
122,34,99_Close,"吉野","関連LP②のターゲティングを決めるために関連するキーワードを洗い出す",2.0,2017-08-15,1.0,2017-08-16,"2017-10-22 12:30:59.919340","2017-10-22 12:30:59.919340"
123,34,99_Close,"吉野","関連LP②の関連キーワードを分類し、ターゲッティング分類を決める",2.0,2017-08-09,2.0,2017-08-08,"2017-10-22 12:30:59.925728","2017-10-22 12:30:59.925728"
124,34,99_Close,"吉野","関連LP②の分類したYDNキーワードをキーワードサーチリストに設定し、テスト出稿する",2.0,2017-08-09,2.5,2017-08-09,"2017-10-22 12:30:59.931437","2017-10-22 12:30:59.931437"
125,45,99_Close,"作村","1週間分の課題を課題管理票とタスク管理表に記入",3.0,2017-07-27,0.5,2017-07-27,"2017-10-22 12:30:59.938075","2017-10-22 12:30:59.938075"
126,11,99_Close,"作村","YDN10出稿する。",3.0,2017-07-27,2.5,2017-07-28,"2017-10-22 12:30:59.943725","2017-10-22 12:30:59.943725"
127,11,99_Close,"作村","YDN10出稿する。",3.0,2017-08-10,3.0,2017-08-10,"2017-10-22 12:30:59.950311","2017-10-22 12:30:59.950311"
128,11,99_Close,"作村","YDN10出稿する。",3.0,2017-08-10,2.5,2017-08-12,"2017-10-22 12:30:59.955607","2017-10-22 12:30:59.955607"
129,11,99_Close,"作村","YDN10出稿する。",3.0,2017-08-11,,,"2017-10-22 12:30:59.962112","2017-10-22 12:30:59.962112"
130,13,99_Close,"作村","5再出稿する",1.0,2017-07-27,0.4,2017-07-28,"2017-10-22 12:30:59.977829","2017-10-22 12:30:59.977829"
131,13,99_Close,"作村","YDN審査落ち広告を2件再出稿する",0.5,2017-08-16,0.5,2017-08-16,"2017-10-22 12:30:59.983845","2017-10-22 12:30:59.983845"
132,13,99_Close,"作村","YDN審査落ち広告を2件再出稿する",0.5,2017-08-17,0.5,2017-08-17,"2017-10-22 12:30:59.997790","2017-10-22 12:30:59.997790"
133,13,99_Close,"作村","YDN審査落ち広告を2件再出稿する",0.5,2017-08-18,0.5,2017-08-18,"2017-10-22 12:31:00.003536","2017-10-22 12:31:00.003536"
134,48,99_Close,"作村","27日伊藤さんへ収支報告。",0.5,2017-07-27,0.0,,"2017-10-22 12:31:00.011056","2017-10-22 12:31:00.011056"
135,48,99_Close,"作村","28日伊藤さんへ収支報告。",0.5,2017-07-28,0.0,,"2017-10-22 12:31:00.018290","2017-10-22 12:31:00.018290"
136,48,99_Close,"作村","29日伊藤さんへ収支報告。",0.5,2017-07-29,0.0,,"2017-10-22 12:31:00.023972","2017-10-22 12:31:00.023972"
137,48,99_Close,"作村","30日伊藤さんへ収支報告。",0.5,2017-08-11,0.0,,"2017-10-22 12:31:00.034357","2017-10-22 12:31:00.034357"
138,49,99_Close,"作村","管理シートの分析",1.0,2017-07-30,0.0,,"2017-10-22 12:31:00.042339","2017-10-22 12:31:00.042339"
139,24,99_Close,"吉野","スキンケアLPの商品説明を追記する",2.0,2017-07-28,3.0,2017-07-28,"2017-10-22 12:31:00.049349","2017-10-22 12:31:00.049349"
140,2,99_Close,"浅","メイプラックが利用しているカードのリストを作成する",0.3,2017-08-02,0.3,2017-08-04,"2017-10-22 12:31:00.055368","2017-10-22 12:31:00.055368"
141,2,99_Close,"浅","月毎のカード支払額の記録表を作成する",0.2,2017-08-02,0.4,2017-08-02,"2017-10-22 12:31:00.061836","2017-10-22 12:31:00.061836"
142,51,99_Close,"吉野","SS既出稿商品のうち、提携解除になっていない商品をピックアップする",0.5,2017-08-30,0.3,2017-08-30,"2017-10-22 12:31:00.080245","2017-10-22 12:31:00.080245"
143,51,99_Close,"吉野","タスク180の商品のうちafb商品の月別検索数の推移をデータ抽出する",4.0,2017-08-30,2.5,2017-08-30,"2017-10-22 12:31:00.090012","2017-10-22 12:31:00.090012"
144,51,99_Close,"吉野","タスク180の商品のうちAT商品の月別検索数の推移をデータ抽出する",2.0,2017-08-30,1.2,2017-08-30,"2017-10-22 12:31:00.103826","2017-10-22 12:31:00.103826"
145,51,99_Close,"吉野","タスク180の商品のうち、出稿する商品と時期を決め一覧表にする",3.0,2017-08-31,2.4,2017-08-31,"2017-10-22 12:31:00.111090","2017-10-22 12:31:00.111090"
146,53,99_Close,"吉野","YDN商品の広告入札価格を調整する",0.5,2017-08-02,0.3,2017-08-02,"2017-10-22 12:31:00.118225","2017-10-22 12:31:00.118225"
147,53,99_Close,"吉野","YDN停止案件の広告・キーワードリストを整理・削除する",1.0,2017-08-02,1.5,2017-08-02,"2017-10-22 12:31:00.124217","2017-10-22 12:31:00.124217"
148,54,99_Close,"吉野","SS審査落ち広告を再出稿する",0.5,2017-08-02,0.5,2017-08-03,"2017-10-22 12:31:00.130875","2017-10-22 12:31:00.130875"
149,56,99_Close,"作村","今週の予定タスクを記入する。",0.5,2017-07-31,0.5,2017-07-31,"2017-10-22 12:31:00.137543","2017-10-22 12:31:00.137543"
150,57,99_Close,"作村","全ての修正を終える",2.0,2017-08-06,2.0,2017-08-05,"2017-10-22 12:31:00.143392","2017-10-22 12:31:00.143392"
151,11,99_Close,"作村","31日5出稿する。",2.5,2017-07-31,1.5,,"2017-10-22 12:31:00.154382","2017-10-22 12:31:00.154382"
152,11,99_Close,"作村","1日5出稿する。",2.5,2017-08-01,1.5,2017-08-06,"2017-10-22 12:31:00.161014","2017-10-22 12:31:00.161014"
153,11,99_Close,"作村","A8商品を5件YDNに出稿する",2.5,2017-08-09,1.0,2017-08-09,"2017-10-22 12:31:00.166721","2017-10-22 12:31:00.166721"
